catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FWRBF48,Folkways Records,1983,They All Played the Tiger Rag,Various Artists,United States,"African American; Anglo-American","Jazz &amp; Ragtime","Accordion; Banjo; Bass; Clarinet; Cornet; Drum; Guitar; Piano; Saxophone; Sousaphone; Trombone; Trumpet; Tuba; Violin; Woodwind instruments",,"Jazz; Ragtime",http://www.folkways.si.edu/they-all-played-the-tiger-rag/jazz-ragtime/music/album/smithsonian,United States,-80.6000710542584,32.2743237134467
FWRBF49,Folkways Records,1983,Ragtime Piano Revival,Various Artists,United States,,"Jazz &amp; Ragtime",Piano,,"Jazz; Ragtime",http://www.folkways.si.edu/ragtime-piano-revival/jazz/music/album/smithsonian,United States,-102.288977405574,32.1354050361222
FWRBF50,Folkways Records,1983,The Piano Roll Artistry of Edythe Baker and Other Women,Edythe Baker and Other Women,United States,,"Jazz &amp; Ragtime",Piano-roll music,,"Jazz; Piano-roll music; Ragtime",http://www.folkways.si.edu/edythe-baker-and-other-women/the-piano-roll-artistry-of/jazz-ragtime/music/album/smithsonian,United States,-82.7026585743772,36.6578997827491
FWRBF52,Folkways Records,1985,Dixieland Joys,Various Artists,United States,,"Jazz &amp; Ragtime","Banjo; Bass; Clarinet; Cornet; Drum; Guitar; Piano; Recorder (Muscial instrument); Saxophone; Trombone; Trumpet; Tuba; Woodwind instruments",,"Country music; Dixieland music; Jazz; Old-time music",http://www.folkways.si.edu/dixieland-joys/jazz-ragtime/music/album/smithsonian,United States,-106.571966353209,47.2083220035368
FWRBF602,Folkways Records,1981,Nobody and Other Songs,Bert Williams,United States,African American,"American Popular; Humor",,,"Popular music--United States; Vaudeville; Wit and humor",http://www.folkways.si.edu/bert-williams/nobody-and-other-songs/american-popular-humor/album/smithsonian,United States,-117.58100914341,44.1746298786878
FWRBF654,Folkways Records,1983,Dock Boggs - His Twelve Original Recordings,Dock Boggs,United States,Anglo-American,"American Folk; Old Time","Banjo; Guitar",English,"Folk songs--United States; Old-time music; String band",http://www.folkways.si.edu/dock-boggs/twelve-original-recordings/american-folk-old-time/music/album/smithsonian,United States,-146.789433940689,61.5965079899801
FWRF112,Folkways Records,1980,John Kimmel - Virtuoso of the Irish Accordion,John Kimmel,United States,Irish-American,"Celtic; World",Accordion,,"Music--British Isles; Music--Ireland; Vaudeville",http://www.folkways.si.edu/john-kimmel/virtuoso-of-the-irish-accordion/celtic-world/music/album/smithsonian,United States,-109.743441743918,33.4620356004914
FWRF202,Folkways Records,1960,Rural Blues - A Study of the Vocal and Instrumental Resources,Various Artists,United States,,Blues,,English,,http://www.folkways.si.edu/rural-blues-a-study-of-the-vocal-and-instrumental-resources/music/album/smithsonian,United States,-141.00573453786,66.6850050119262
FWRF610,Folkways Records,1981,"Let's Put the Axe to the Axis - Songs of World War II, Volume I",Various Artists,United States,,Historical Song,,English,"Military music; Popular music--United States",http://www.folkways.si.edu/lets-put-the-axe-to-the-axis-songs-of-world-war-ii-volume-i/historical-song/music/album/smithsonian,United States,-150.833821700699,69.235032275066
FWRFS601,Folkways Records,1981,Theatre Lyrics of P.G. Wodehouse featuring music by Jerome Kern,Various Artists,"United Kingdom; United States",,"American Popular; Soundtracks &amp; Musicals; World",Vocals,English,"Oral history; Popular music--United States; Theater",http://www.folkways.si.edu/theatre-lyrics-of-pg-wodehouse-featuring-music-by-jerome-kern/american-popular-soundtracks-musicals-world/album/smithsonian,United Kingdom,-1.40858844839476,51.6725175390329
FWRFS603,Folkways Records,1982,Sophie Tucker and Ted Lewis - Vintage Show Biz Greats,Sophie Tucker and Ted Lewis,United States,,American Popular,Clarinet,English,"Popular music--United States; Radio programs; Television programs; Vaudeville",http://www.folkways.si.edu/sophie-tucker-and-ted-lewis/vintage-show-biz-greats/american-popular/music/album/smithsonian,United States,-108.106187494711,43.5658245489875
FWRFS604,Folkways Records,1983,A Tribute to George M. Cohan,Various Artists,United States,,"American Popular; Soundtracks &amp; Musicals",,English,"Motion picture soundtracks; Popular music--United States; Theater; Vaudeville",http://www.folkways.si.edu/a-tribute-to-george-m-cohan/american-popular-soundtracks-musicals/music/album/smithsonian,United States,-106.803194923122,34.202171468419
FWRFS612,Folkways Records,1981,On the Beach at Waikiki,Various Artists,United States,Hawaiian,Hawai'i,Hawaiian guitar,English,Music--Hawaii,http://www.folkways.si.edu/on-the-beach-at-waikiki/hawaii/music/album/smithsonian,United States,-69.9792467809811,46.6333237551632
FWSFX05,Folkways Records,1983,The Sea Song Sampler,Various Artists,United States,,American Folk,,English,"Folksong revival; Sea songs",http://www.folkways.si.edu/the-sea-song-sampler/american-folk/music/album/smithsonian,United States,-104.196449279741,43.6918044490834
HRT15002,Mickey Hart Collection,1988,Sarangi: The Music of India,Ustad Sultan Khan,India,,"India; World",,,,http://www.folkways.si.edu/ustad-sultan-khan/sarangi-the-music-of-india/world/album/smithsonian,India,73.5330766172764,16.9034367673246
HRT15009,Mickey Hart Collection,1991,Voices of the Rainforest,Various Artists,Papua New Guinea,,World,,,,http://www.folkways.si.edu/voices-of-the-rainforest/world/music/album/smithsonian,Papua New Guinea,145.758941576777,-5.96519332519846
HRT15010,Mickey Hart Collection,1991,Honor the Earth Powwow: Songs of the Great Lakes Indians,Various Artists,United States,,American Indian,,,,http://www.folkways.si.edu/honor-the-earth-powwow-songs-of-the-great-lakes-indians/american/music/album/smithsonian,United States,-149.436361400835,62.822278705765
HRT15014,Mickey Hart Collection,1997,American Warriors: Songs for Indian Veterans,Various Artists,United States,,American Indian,,,,http://www.folkways.si.edu/american-warriors-songs-for-indian-veterans/american/music/album/smithsonian,United States,-111.750398947331,36.5005183840151
HRT15017,Mickey Hart Collection,1997,Utom: Summoning the Spirit,Various Artists,Philippines,,World,,,,http://www.folkways.si.edu/utom-summoning-the-spirit/world/music/album/smithsonian,Philippines,121.473213716251,16.9935058007751
ILAMTR014B,ILAM,1957,Lala dance songs,Various Artists,Zambia,Lala,World,"Akanono; Cimbulunge; Drum; Ensemble leader; Fwanda fwanda; Rattle",Lala,,http://www.folkways.si.edu/lala-dance-songs/world/music/album/smithsonian,Zambia,30.2296706203254,-11.3428660182855
ILAMTR019B,ILAM,1957,Aushi Songs,Various Artists,Zambia,Aushi,World,"Drum, cylindrical; Ensemble leader; Vocals, group",Aushi,,http://www.folkways.si.edu/aushi-songs/world/music/album/smithsonian,Zambia,25.3032353376083,-15.7138374871085
ILAMTR021,ILAM,1957,Lala songs from the Serenje district,Various Artists,Zambia,Lala,World,"Bottle, struck; Drum, goblet; Mbira, kankowele; Mirliton; Vocals, group",Lala,,http://www.folkways.si.edu/lala-songs-from-the-serenje-district/world/music/album/smithsonian,Zambia,25.5343984253632,-13.4479988371722
ILAMTR024,ILAM,1957,Bemba songs and hymns,Various Artists,Zambia,Bemba,World,"Chorus; Mbira, mumamba; Vocals; Vocals, group",Bemba,,http://www.folkways.si.edu/bemba-songs-and-hymns/world/music/album/smithsonian,Zambia,28.7171250493538,-14.389815411363
SFW40142,Smithsonian Folkways Recordings,2001,Richard Dyer-Bennet #2,Richard Dyer-Bennet,United States,,"American Folk; World",,English,,http://www.folkways.si.edu/richard-dyer-bennet/no-2/american-folk-world/music/album/smithsonian,United States,-93.9872008151517,35.0384758372874
ILAMTR041,ILAM,1957,Topical and ceremonial songs including rain songs from the Valley Tonga people of Zambia,Various Artists,Zambia,Valley Tonga,World,"Chamutanda; Clapping, hand; Ensemble leader; Gogogo; Kalumbo; Mbira dza waNdau; Mbira, kankowele; Mirliton; Muntundu; Mutetule usibgwa ; Nyele; Pati; Pininga; Sticks, struck; Vocals; Vocals, group",Tonga (Zambezi),,http://www.folkways.si.edu/topical-and-ceremonial-songs-including-rain-songs-from-the-valley-tonga-people-of-zambia/world/music/album/smithsonian,Zambia,22.0324942561065,-14.617107840952
ILAMTR043,ILAM,1957,"Songs for drinking and walking, drum rhythms and Nyele horns of the Valley Tonga people of Zambia",Various Artists,Zambia,Valley Tonga,World,"Clapping, hand; Drum; Ensemble leader; Gayanda ; Mutetere; Nyele; Nyele horn ensemble; Sticks, struck; Vocals; Vocals, group",Tonga (Zambezi),,http://www.folkways.si.edu/songs-for-drinking-and-walking-drum-rhythms-and-nyele-horns-of-the-valley-tonga-people-of-zambia/world/music/album/smithsonian,Zambia,30.6920711908118,-14.6773925335731
ILAMTR044,ILAM,1957,Dance songs and stories with songs from the Valley Tonga people of Zambia,Various Artists,Zambia,Valley Tonga,World,"Clapping, hand; Ensemble leader; Gogogo; Mpati ; Musunta; Vocals; Vocals, group",Tonga (Zambezi),,http://www.folkways.si.edu/dance-songs-and-stories-with-songs-from-the-valley-tonga-people-of-zambia/world/music/album/smithsonian,Zambia,29.4038191208112,-14.97564525865
ILAMTR045,ILAM,1957,Dance songs with drums from the Valley Tonga people of Zambia,Various Artists,Zambia,Valley Tonga,World,"Chamutanda; Drum, cylindrical; Drum, goblet; Ensemble leader; Gogogo; Kayanda; Kingaridi; Milupa ; Milupa trio; Mujinji; Mulai; Muntundu; Namalwa; Ngoma; Ngoma drum ensemble; Nyele; Nyele horn ensemble; Pati; Pininga; Silimba; Sticks, struck; Vocals, group",Tonga (Zambezi),,http://www.folkways.si.edu/dance-songs-with-drums-from-the-valley-tonga-people-of-zambia/world/music/album/smithsonian,Zambia,28.6226431347634,-14.2569016706878
ILAMTR046,ILAM,1957,Songs for entertainment from the Valley Tonga people of Zambia,Various Artists,Zambia,Valley Tonga,World,"Chikorekore; Kalumbo; Mbira, deza; Mbira, kankowele; Vocals",Tonga (Zambezi),,http://www.folkways.si.edu/songs-for-entertainment-from-the-valley-tonga-people-of-zambia/world/music/album/smithsonian,Zambia,27.7057161689542,-15.6623858178338
ILAMTR104B,ILAM,1959,Mokhibo dances and Mokorotlo riding songs from the Sotho people of Lesotho,Various Artists,Lesotho,Sotho,World,"Ensemble leader; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/mokhibo-dances-and-mokorotlo-riding-songs-from-the-sotho-people-of-lesotho/world/music/album/smithsonian,Lesotho,27.6197592768374,-30.3178324426506
ILAMTR052,ILAM,1957,"Topical songs, drinking songs, and love songs from the Luunda and Aushi people of Zambia",Various Artists,Zambia,"Aushi; Luunda",World,"Bottle, struck; Clapping, hand; Guitar; Rattle; Vocals; Vocals, group","Aushi; Bemba",,http://www.folkways.si.edu/topical-songs-drinking-songs-and-love-songs-from-the-luunda-and-aushi-people-of-zambia/world/music/album/smithsonian,Zambia,29.1946772459235,-15.1599861662248
ILAMTR069,ILAM,1958,Umgubo regimental songs from the Swazi people of Swaziland,Various Artists,Swaziland,Swazi,World,"Vocals, group",Swazi,,http://www.folkways.si.edu/umgubo-regimental-songs-from-the-swazi-people-of-swaziland/world/music/album/smithsonian,Swaziland,32.0167016489578,-26.3349520336461
ILAMTR073,ILAM,1958,Dances and songs for running and walking by the Swazi people of Swaziland,Various Artists,Swaziland,Swazi,World,"Bass drum; Clapper; Clapping, hand; Rattle, ankle; Vocals, group",Swazi,,http://www.folkways.si.edu/dances-and-songs-for-running-and-walking-by-the-swazi-people-of-swaziland/world/music/album/smithsonian,Swaziland,31.6591877203071,-26.2755215391862
ILAMTR101,ILAM,1959,"Various songs from the Sotho people of Berea district, Lesotho",Various Artists,Lesotho,Sotho,World,"Clapping, hand; Drum; Drum, frame; Ensemble leader; Harmonica; Vocals; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/various-songs-from-the-sotho-people-of-berea-district-lesotho/world/music/album/smithsonian,Lesotho,28.6349622700454,-29.7005505818397
ILAMTR102,ILAM,1959,"Songs from the Sotho people of Berea district, Lesotho",Various Artists,Lesotho,Sotho,World,"Clapping, hand; Drum, cylindrical; Drum, frame; Stamping, foot; Vocals; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/songs-from-the-sotho-people-of-berea-district-lesotho/world/music/album/smithsonian,Lesotho,28.8987374968325,-29.3044804376686
ILAMTR103,ILAM,1959,"Songs and dances from the Sotho people of Mauteng, Maseru district, Lesotho",Various Artists,Lesotho,Sotho,World,"Ensemble leader; Vocals; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/songs-and-dances-from-the-sotho-people-of-mauteng-maseru-district-lesotho/world/music/album/smithsonian,Lesotho,27.7662774766456,-28.9950512042269
ILAMTR104A,ILAM,1959,"Songs and dances from the Sotho people of Upper Qeme, Maseru district, Lesotho",Various Artists,Lesotho,Sotho,World,"Clapping, hand; Lesiba; Sekebeku; Vocals; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/songs-and-dances-from-the-sotho-people-of-upper-qeme-maseru-district-lesotho/world/music/album/smithsonian,Lesotho,27.7938898330854,-29.517535023719
ILAMTR105,ILAM,1959,"Work, riding, dance and initiation songs from the Sotho people of Maseru district, Lesotho",Various Artists,Lesotho,Sotho,World,"Ensemble leader; Stamping, foot; Vocals; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/work-riding-dance-and-initiation-songs-from-the-sotho-people-of-maseru-district-lesotho/world/music/album/smithsonian,Lesotho,28.5440489371596,-29.8825477960599
ILAMTR106,ILAM,1959,Dance songs and intitiation songs from the Sotho people of Lesotho,Various Artists,Lesotho,Sotho,World,"Clapping, hand; Ensemble leader; Stamping, foot; Vocals; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/dance-songs-and-intitiation-songs-from-the-sotho-people-of-lesotho/world/music/album/smithsonian,Lesotho,27.5290811311732,-29.2267763268958
ILAMTR107B,ILAM,1959,"Mokorotlo and Mohobelo dances from the Sotho people of Mokoroane, Mohale's Hoek, Lesotho",Various Artists,Lesotho,Sotho,World,"Ensemble leader; Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/mokorotlo-and-mohobelo-dances-from-the-sotho-people-of-mokoroane-mohales-hoek-lesotho/world/music/album/smithsonian,Lesotho,28.2750525888427,-30.0470159106612
MON00404,Monitor Records,,Songs of a Russian Gypsy,Alya,"Russia; USSR (former)",Romani,World,,,World music,http://www.folkways.si.edu/alya/songs-of-a-russian-gypsy/world/music/album/smithsonian,Russia,89.7998175211251,50.5437801271075
ILAMTR144,ILAM,1950,"Fishing, paddling, hunting, and topical songs from the Haya people of Bukoba district, Tanzania",Various Artists,Tanzania,Haya,World,"Bell; Clapping, hand; Drum, conical; Ensemble leader; Nanga; Rattle; Vocals; Vocals, group",Haya,,http://www.folkways.si.edu/fishing-paddling-hunting-and-topical-songs-from-the-haya-people-of-bukoba-district-tanzania/world/music/album/smithsonian,Tanzania,34.9721674873196,-2.42119165508923
ILAMTR147A,ILAM,1950,"Wedding, entertainment, and dance songs from the Zinza people of Biharamulo district, Tanzania",Various Artists,Tanzania,Zinza,World,"Clapping, hand; Ensemble leader; Mbira, likembe marimbe; Ngoma; Vocals; Vocals, group",Zinza,,http://www.folkways.si.edu/wedding-entertainment-and-dance-songs-from-the-zinza-people-of-biharamulo-district-tanzania/world/music/album/smithsonian,Tanzania,38.4241345657352,-4.94714010782935
